page_name,page_created,total_interactions,likes,comments,shares,message
Ozarka College,2009-01-13T17:16:41Z,0,0,0,0,"Ozarka will be open and hold classes on Monday, February 1st."
DC Public Schools,2009-12-17T16:21:02Z,0,0,0,0,"Monday, February 1, 2010: All DCPS schools and offices will open on time and will operate as usual."
Kingsport City Schools,2010-01-26T20:11:03Z,7,4,3,0,"Kingsport City Schools will operate on a two-hour delay Monday, February 1."
NICE Community School District,2009-12-20T04:04:14Z,1,0,1,0,"Fans...let's start posting pictures. Concerts, theatrical performances, athletics...."
Haines Glacier Bears,2010-01-16T06:52:14Z,4,4,0,0,Haines Boys vs Petersburg - February 5-6
"Union Public Schools - Tulsa, OK",2009-10-08T03:50:56Z,14,0,14,0,"Classes will be in session Monday, February 1, but because of the snow and ice that may remain in neighborhoods, buses will follow the district's ice routes."
"Union Public Schools - Tulsa, OK",2009-10-08T03:50:56Z,0,0,0,0,"Classes will be in session Monday, February 1, but because of the snow and ice that may remain in neighborhoods, buses will follow the district's ice routes. Visit our school web site at www.unionps.org:=:https://www.unionps.org/ for information on the routes"
Bristol Tennessee City Schools,2009-09-25T02:08:25Z,29,17,12,0,"BTCS will be on a two-hour delay on Monday, February 1 due to icy roads."
Plumas Lake Elementary School District,2010-02-01T00:36:48Z,2,1,1,0,Budget Survey: The Budget Surveys will close on Wednesday 2/3/2010. If you have not yet taken the survey please go to http://www.plusd.org/About-Us/Budget-Advisory-CommitteeProcess/index.html
Plumas Lake Elementary School District,2010-02-01T00:36:48Z,0,0,0,0,Please join us for the Staff Budget Forum on Monday 2/1/10 at 3:00 p.m. in the Rio multipurpose room or the Parent Budget Forum on Tuesday 2/2/10 at 7:00 p.m. in the Rio Multipurpose room.
Duluth Public Schools,2009-12-25T00:11:28Z,0,0,0,0,http://www.goduluthschools.com/?p=3808
Henry Ford Academy: Alameda School for Art + Design,2009-08-13T23:21:22Z,2,2,0,0,Insight from our food challenge. Students did a great job.
